Ano,Mes,Calc,COR(ppm Pt Co),TURB.(FTU),pH,ALC.(ppm CaCO3),AC.(ppm CaCO3),O.C.(ppm O2),DBO(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),N(ppm N),P(ppm P),Cond.(uS/cm),Amonia(mg/l),Surfact.(mg/l),Cianobacteria(cel/ml),S.T.(mg/l),C.T.(NMP/100ml),C.F.(NMP/100ml),CLOROFILA(ug/l),F(ppm F)
2009,Jan,Mín.,200,64,"7,0",29,3,"6,3",--,"2,0",16,36,"3,23","0,09",--,--,131,,--,6.600,--,50.000,23.000,"2,23","0,12"
2009,Jan,Méd.,432,131,"7,2",34,5,"6,8",--,"3,5",23,47,"6,26","0,17",--,--,145,,--,6.850,--,50.000,23.000,"11,35","0,16"
2009,Jan,Máx.,690,241,"7,4",38,8,"7,5",--,"4,8",33,66,"11,20","0,32",--,--,156,,--,7.100,--,50.000,23.000,"22,32","0,19"
2009,Fev,Mín.,393,72,"6,5",29,6,"5,9",--,"2,8",20,30,"6,82","0,08",--,--,128,,--,1.100,--,240.000,30.000,"6,69","0,12"
2009,Fev,Méd.,868,238,"7,1",31,7,"7,2",--,"4,1",21,33,"9,55","0,12",--,--,133,,--,2.100,--,240.000,30.000,"7,81","0,16"
2009,Fev,Máx.,1.110,329,"7,5",36,8,"8,9",--,"5,5",23,34,"11,32","0,16",--,--,140,,--,3.100,--,240.000,30.000,"8,92","0,19"
2009,Mar,Mín.,75,20,"7,4",40,6,"6,4",--,"2,0",22,38,"2,71","0,13",--,--,150,,--,611,--,500.000,170.000,"0,56","0,12"
2009,Mar,Méd.,158,63,"7,4",46,8,"7,9",--,"3,1",26,40,"5,83","0,15",--,--,171,,--,1.798,--,500.000,170.000,"7,62","0,16"
2009,Mar,Máx.,320,163,"7,5",51,10,"8,6",--,"5,0",30,42,"11,02","0,18",--,--,184,,--,2.984,--,500.000,170.000,"22,32","0,19"
2009,Abr,Mín.,40,15,"7,3",44,6,"6,8",--,"1,8",20,40,"1,35","0,10",--,--,176,,--,2.525,--,130.000,17.000,"8,03","0,12"
2009,Abr,Méd.,63,36,"7,4",47,10,"7,4",--,"2,7",23,45,"1,96","0,12",--,--,201,,--,6.920,--,150.000,17.000,"9,93","0,16"
2009,Abr,Máx.,90,47,"7,5",49,12,"7,8",--,"3,5",25,50,"2,49","0,12",--,--,239,,--,11.314,--,170.000,17.000,"12,05","0,19"
2009,Mai,Mín.,23,12,"7,1",51,4,"4,0",--,"1,4",30,36,"1,04","0,11",--,--,281,,--,4.348,--,17.000,1.100,"8,03","0,12"
2009,Mai,Méd.,33,14,"7,3",57,8,"5,3",--,"2,2",33,40,"1,40","0,13",--,--,292,,--,7.605,--,23.500,4.550,"18,97","0,16"
2009,Mai,Máx.,40,17,"7,4",61,10,"6,5",--,"2,9",35,44,"1,59","0,15",--,--,298,,--,12.800,--,30.000,8.000,"43,75","0,19"
2009,Jun,Mín.,25,10,"7,3",61,7,"6,6",--,"1,5",30,46,"0,98","0,10",--,--,259,,--,7.691,--,22.000,4.000,"8,04","0,12"
2009,Jun,Méd.,29,12,"7,4",65,8,"6,8",--,"2,3",34,49,"1,02","0,12",--,--,283,,--,11.960,--,117.333,35.667,"11,34","0,16"
2009,Jun,Máx.,35,13,"7,6",67,10,"7,2",--,"3,9",40,50,"1,07","0,13",--,--,301,,--,20.028,--,300.000,80.000,"13,84","0,19"
2009,Jul,Mín.,30,12,"7,3",47,4,"6,5",--,"1,3",30,40,"1,06","0,09",--,--,209,,--,23.930,--,300.000,130.000,"11,61","0,12"
2009,Jul,Méd.,33,13,"7,4",56,10,"7,8",--,"1,9",32,48,"1,31","0,11",--,--,258,,--,23.930,--,300.000,130.000,"11,61","0,16"
2009,Jul,Máx.,40,14,"7,4",65,14,"9,4",--,"2,6",35,50,"1,62","0,14",--,--,310,,--,23.930,--,300.000,130.000,"11,61","0,19"
2009,Ago,Mín.,25,8,"7,2",51,5,"5,1",--,"0,9",35,40,"0,71","0,08",--,--,264,,--,10.731,--,3.000,300,"18,75","0,12"
2009,Ago,Méd.,36,16,"7,4",61,12,"6,8",--,"1,7",38,49,"1,38","0,14",--,--,333,,--,26.774,--,121.500,11.150,"22,55","0,16"
2009,Ago,Máx.,55,32,"7,5",71,24,"8,9",--,"2,5",40,56,"2,70","0,22",--,--,382,,--,42.817,--,240.000,22.000,"26,34","0,19"
2009,Set,Mín.,35,11,"6,5",37,10,"6,4",--,"0,5",28,40,"0,90","0,14",--,--,202,,--,3.908,--,50.000,8.000,"5,36","0,12"
2009,Set,Méd.,206,114,"7,1",50,13,"6,9",--,"1,9",35,50,"2,91","0,23",--,--,282,,--,4.937,--,275.000,19.000,"5,66","0,16"
2009,Set,Máx.,700,415,"7,4",60,16,"7,5",--,"4,9",40,60,"8,20","0,38",--,--,335,,--,5.965,--,500.000,30.000,"5,95","0,19"
2009,Out,Mín.,45,19,"7,1",53,8,"5,4",--,"0,8",30,40,"1,29","0,15",--,--,257,,--,4.365,--,17.000,1.700,"4,91","0,12"
2009,Out,Méd.,57,23,"7,3",64,11,"6,4",--,"1,6",33,47,"1,70","0,19",--,--,296,,--,7.963,--,1.208.500,250.850,"10,49","0,16"
2009,Out,Máx.,65,27,"7,5",70,14,"7,7",--,"2,9",35,52,"2,31","0,26",--,--,338,,--,11.560,--,2.400.000,500.000,"16,07","0,19"
2009,Nov,Mín.,85,39,"7,0",27,6,"7,5",--,"0,8",27,31,"2,75","0,06",--,--,189,,--,2.240,--,220.000,80.000,"11,16","0,12"
2009,Nov,Méd.,312,219,"7,2",36,9,"8,3",--,"2,2",31,43,"5,67","0,15",--,--,199,,--,8.612,--,260.000,80.000,"16,00","0,16"
2009,Nov,Máx.,720,540,"7,4",43,16,"8,9",--,"4,1",35,50,"10,52","0,22",--,--,209,,--,14.984,--,300.000,80.000,"20,83","0,19"
2009,Dez,Mín.,200,43,"6,9",22,5,"7,2",--,"3,0",16,26,"5,29","0,08",--,--,89,,--,200,--,110.000,33.000,"18,97","0,12"
2009,Dez,Méd.,798,401,"7,1",30,7,"9,0",--,"4,4",20,35,"14,74","0,16",--,--,118,,--,1.849,--,705.000,86.500,"24,00","0,16"
2009,Dez,Máx.,1.650,970,"7,3",39,10,"11,2",--,"5,7",23,40,"26,00","0,25",--,--,154,,--,3.497,--,1.300.000,140.000,"29,02","0,19"
2010,Jan,Mín.,145,54,"7,1",24,6,"5,3",--,"3,4",13,25,"5,12","0,12",--,--,94,,--,553,--,130.000,30.000,"0,74","0,12"
2010,Jan,Méd.,249,124,"7,3",27,6,"6,7",--,"4,8",17,37,"8,45","0,17",--,--,105,,--,1.548,--,615.000,50.000,"11,53","0,14"
2010,Jan,Máx.,381,204,"7,4",32,6,"8,5",--,"5,9",21,49,"13,50","0,26",--,--,114,,--,2.542,--,1.100.000,70.000,"22,32","0,16"
2010,Fev,Mín.,80,35,"7,1",26,5,"6,5",--,"3,5",17,28,"3,00","0,06",--,--,89,,--,297,--,170.000,110.000,"10,60","0,12"
2010,Fev,Méd.,192,85,"7,3",32,9,"7,6",--,"4,2",19,34,"5,00","0,10",--,--,118,,--,432,--,785.000,170.000,"19,81","0,21"
2010,Fev,Máx.,290,153,"7,5",35,14,"9,1",--,"5,5",25,40,"7,57","0,14",--,--,137,,--,566,--,1.400.000,230.000,"29,02","0,39"
2010,Mar,Mín.,128,63,"7,2",26,5,"5,6",--,"3,4",15,24,"2,71","0,06",--,--,108,,--,697,--,300.000,130.000,"11,16","0,13"
2010,Mar,Méd.,289,238,"7,2",32,8,"7,8",--,"4,2",19,30,"7,65","0,14",--,--,121,,--,697,--,300.000,130.000,"11,16","0,16"
2010,Mar,Máx.,560,568,"7,3",46,14,"10,2",--,"5,2",30,40,"12,24","0,18",--,--,142,,--,697,--,300.000,130.000,"11,16","0,24"
2010,Abr,Mín.,84,44,"7,2",38,13,"5,4",--,"3,7",22,30,"2,18","0,09",--,--,148,,--,1.630,--,65.000,43.500,"5,36","0,16"
2010,Abr,Méd.,120,70,"7,3",40,14,"7,1",--,"4,6",25,32,"3,11","0,11",--,--,170,,--,1.910,--,80.000,80.000,"10,27","0,17"
2010,Abr,Máx.,120,70,"7,3",40,13,"5,4",--,"3,7",22,32,"2,18","0,09",--,--,170,,--,1.910,--,170.000,17.000,"0,00","0,18"
2010,Mai,Mín.,25,8,"7,2",41,6,"4,4",--,"1,4",20,24,"0,99","0,10",--,--,183,,--,3.395,--,130.000,17.000,"16,07","0,12"
2010,Mai,Méd.,34,11,"7,3",47,9,"5,3",--,"2,5",22,34,"1,29","0,16",--,--,203,,--,3.395,--,130.000,17.000,"16,07","0,17"
2010,Mai,Máx.,40,14,"7,3",52,14,"6,1",--,"3,5",25,50,"1,64","0,29",--,--,229,,--,3.395,--,130.000,17.000,"16,07","0,20"
2010,Jun,Mín.,17,6,"7,2",47,6,"3,5",--,"1,8",20,18,"0,56","0,09",--,--,217,,--,3.291,--,17.000,2.000,"8,04","0,14"
2010,Jun,Méd.,37,8,"7,3",52,8,"4,2",--,"2,4",28,35,"0,71","0,11",--,--,250,,--,9.466,--,258.500,36.000,"18,53","0,17"
2010,Jun,Máx.,92,11,"7,3",58,10,"4,7",--,"3,1",38,60,"0,81","0,14",--,--,278,,--,15.640,--,500.000,70.000,"29,02","0,21"
2010,Jul,Mín.,20,7,"7,3",34,5,"4,7",--,"1,5",35,40,"0,75","0,08",--,--,276,,--,2.948,--,50.000,13.000,"13,84","0,19"
2010,Jul,Méd.,29,8,"7,4",48,7,"5,8",--,"2,0",38,65,"0,92","0,13",--,--,283,,--,2.948,--,50.000,13.000,"13,84","0,22"
2010,Jul,Máx.,40,9,"7,5",62,8,"8,8",--,"3,6",40,80,"1,04","0,17",--,--,298,,--,2.948,--,50.000,13.000,"13,84","0,27"
2010,Ago,Mín.,22,6,"7,3",50,7,"4,0",--,"0,8",35,27,"0,80","0,07",--,--,316,,--,1.520,--,30.000,2.700,"20,08","0,20"
2010,Ago,Méd.,28,7,"7,4",59,8,"7,1",--,"1,3",57,36,"0,87","0,12",--,--,338,,--,2.828,--,30.000,3.350,"24,33","0,25"
2010,Ago,Máx.,39,8,"7,5",68,10,"8,8",--,"2,4",86,40,"0,90","0,16",--,--,363,,--,4.136,--,30.000,4.000,"28,57","0,30"
2010,Set,Mín.,22,5,"7,3",64,7,"9,7",--,"0,5",26,40,"0,74","0,12",--,--,343,,--,13.148,--,50.000,8.000,"74,55","0,23"
2010,Set,Méd.,38,10,"7,4",73,12,"10,5",--,"0,9",35,53,"1,23","0,17",--,--,394,,--,13.148,--,50.000,8.000,"74,55","0,24"
2010,Set,Máx.,72,22,"7,7",80,20,"11,2",--,"1,5",40,70,"2,81","0,26",--,--,430,,--,13.148,--,500.000,8.000,"74,55","0,26"
2010,Out,Mín.,22,3,"7,3",49,5,"7,4",--,"0,8",28,40,"0,75","0,11",--,--,304,,--,5.419,--,50.000,2.300,"48,21","0,23"
2010,Out,Méd.,35,9,"7,6",64,7,"8,8",--,"1,4",36,43,"1,06","0,16",--,--,366,,--,5.419,--,50.000,2.300,"48,21","0,29"
2010,Out,Máx.,87,21,"7,8",80,10,"10,0",--,"2,4",45,60,"2,21","0,26",--,--,405,,--,5.419,--,50.000,2.300,"48,21","0,35"
2010,Nov,Mín.,21,4,"7,0",40,5,"6,5",--,"0,7",25,30,"0,73","0,13",--,--,228,,--,6.200,--,11.000,2.300,"20,53","0,16"
2010,Nov,Méd.,41,24,"7,4",55,7,"7,6",--,"1,5",36,38,"1,30","0,17",--,--,317,,--,6.200,--,17.500,2.300,"22,10","0,25"
